天数,顺从度,顺从度增长
2340,85.15,0.012
2341,85.162,0.012
2342,85.174,0.012
2343,85.186,0.012
2344,85.19800000000001,0.012
2345,85.21000000000001,0.012
2346,85.22200000000001,0.012
2347,85.23400000000001,0.012
2348,85.246,0.012
2349,85.258,0.012
2350,85.27,0.012
2351,85.282,0.012
2352,85.294,0.012
2353,85.306,0.012
2354,85.318,0.012
2355,85.33,0.012
2356,85.342,0.012
2357,85.354,0.012
2358,85.366,0.012
2359,85.378,0.012
2360,85.39,0.012
2361,85.402,0.012
2362,85.414,0.012
2363,85.426,0.012
2364,85.438,0.012
2365,85.45,0.012
2366,85.462,0.012
2367,85.474,0.012
2368,85.486,0.012
2369,85.498,0.012
2370,85.51,0.012
2371,85.522,0.012
2372,85.534,0.012
2373,85.546,0.011
2374,85.557,0.011
2375,85.568,0.011
2376,85.57900000000001,0.011
2377,85.59,0.011
2378,85.601,0.011
2379,85.612,0.011
2380,85.623,0.011
2381,85.634,0.011
2382,85.645,0.011
2383,85.656,0.011
2384,85.667,0.011
2385,85.678,0.011
2386,85.68900000000001,0.011
2387,85.7,0.011
2388,85.711,0.011
2389,85.72200000000001,0.011
2390,85.733,0.011
2391,85.744,0.011
2392,85.755,0.011
2393,85.766,0.011
2394,85.777,0.011
2395,85.788,0.011
2396,85.799,0.011
2397,85.81,0.011
2398,85.821,0.011
2399,85.83200000000001,0.011
2400,85.843,0.011
2401,85.854,0.011
2402,85.865,0.011
2403,85.876,0.011
2404,85.887,0.011
2405,85.898,0.011
2406,85.909,0.011
2407,85.92,0.011
2408,85.931,0.011
2409,85.94200000000001,0.011
2410,85.953,0.011
2411,85.964,0.011
2412,85.97500000000001,0.011
2413,85.986,0.011
2414,85.997,0.011
2415,86.008,0.011
2416,86.019,0.011
2417,86.03,0.011
2418,86.041,0.011
2419,86.052,0.011
2420,86.063,0.011
2421,86.074,0.011
2422,86.08500000000001,0.011
2423,86.096,0.011
2424,86.107,0.011
2425,86.118,0.011
2426,86.129,0.011
2427,86.14,0.011
2428,86.151,0.011
2429,86.162,0.011
2430,86.173,0.011
2431,86.184,0.011
2432,86.19500000000001,0.011
2433,86.206,0.011
2434,86.217,0.011
2435,86.22800000000001,0.011
2436,86.239,0.011
2437,86.25,0.011
2438,86.261,0.011
2439,86.272,0.011
2440,86.283,0.011
2441,86.294,0.011
2442,86.305,0.011
2443,86.316,0.011
2444,86.327,0.011
2445,86.33800000000001,0.011
2446,86.349,0.011
2447,86.36,0.011
2448,86.371,0.011
2449,86.382,0.011
2450,86.393,0.011
2451,86.404,0.011
2452,86.415,0.011
2453,86.426,0.011
2454,86.437,0.011
2455,86.44800000000001,0.011
2456,86.459,0.011
2457,86.47,0.011
2458,86.48100000000001,0.011
2459,86.492,0.011
2460,86.503,0.011
2461,86.514,0.011
2462,86.525,0.011
2463,86.536,0.011
2464,86.547,0.011
2465,86.558,0.011
2466,86.569,0.011
2467,86.58,0.011
2468,86.59100000000001,0.011
2469,86.602,0.011
2470,86.613,0.011
2471,86.624,0.011
2472,86.635,0.011
2473,86.646,0.011
2474,86.657,0.011
2475,86.668,0.011
2476,86.679,0.011
2477,86.69,0.011
2478,86.70100000000001,0.011
2479,86.712,0.011
2480,86.723,0.011
2481,86.73400000000001,0.011
2482,86.745,0.011
2483,86.756,0.01
2484,86.766,0.01
2485,86.776,0.01
2486,86.786,0.01
2487,86.796,0.01
2488,86.806,0.01
2489,86.816,0.01
2490,86.82600000000001,0.01
2491,86.836,0.01
2492,86.846,0.01
2493,86.85600000000001,0.01
2494,86.866,0.01
2495,86.876,0.01
2496,86.886,0.01
2497,86.896,0.01
2498,86.906,0.01
2499,86.916,0.01
2500,86.926,0.01
2501,86.936,0.01
2502,86.946,0.01
2503,86.956,0.01
2504,86.96600000000001,0.01
2505,86.976,0.01
2506,86.986,0.01
2507,86.996,0.01
2508,87.006,0.01
2509,87.016,0.01
2510,87.026,0.01
2511,87.036,0.01
2512,87.046,0.01
2513,87.056,0.01
2514,87.066,0.01
2515,87.07600000000001,0.01
2516,87.086,0.01
2517,87.096,0.01
2518,87.10600000000001,0.01
2519,87.116,0.01
2520,87.126,0.01
2521,87.136,0.01
2522,87.146,0.01
2523,87.156,0.01
2524,87.166,0.01
2525,87.176,0.01
2526,87.186,0.01
2527,87.196,0.01
2528,87.206,0.01
2529,87.21600000000001,0.01
2530,87.226,0.01
2531,87.236,0.01
2532,87.246,0.01
2533,87.256,0.01
2534,87.266,0.01
2535,87.276,0.01
2536,87.286,0.01
2537,87.296,0.01
2538,87.306,0.01
2539,87.316,0.01
2540,87.32600000000001,0.01
2541,87.336,0.01
2542,87.346,0.01
2543,87.35600000000001,0.01
2544,87.366,0.01
2545,87.376,0.01
2546,87.386,0.01
2547,87.396,0.01
2548,87.406,0.01
2549,87.416,0.01
2550,87.426,0.01
2551,87.436,0.01
2552,87.446,0.01
2553,87.456,0.01
2554,87.46600000000001,0.01
2555,87.476,0.01
2556,87.486,0.01
2557,87.496,0.01
2558,87.506,0.01
2559,87.516,0.01
2560,87.526,0.01
2561,87.536,0.01
2562,87.546,0.01
2563,87.556,0.01
2564,87.566,0.01
2565,87.57600000000001,0.01
2566,87.586,0.01
2567,87.596,0.01
2568,87.60600000000001,0.01
2569,87.616,0.01
2570,87.626,0.01
2571,87.636,0.01
2572,87.646,0.01
2573,87.656,0.01
2574,87.666,0.01
2575,87.676,0.01
2576,87.686,0.01
2577,87.696,0.01
2578,87.706,0.01
2579,87.71600000000001,0.01
2580,87.726,0.01
2581,87.736,0.01
2582,87.746,0.01
2583,87.756,0.01
2584,87.766,0.01
2585,87.776,0.01
2586,87.786,0.01
2587,87.796,0.01
2588,87.806,0.01
2589,87.816,0.01
2590,87.82600000000001,0.01
2591,87.836,0.01
2592,87.846,0.01
2593,87.85600000000001,0.01
2594,87.866,0.01
2595,87.876,0.01
2596,87.886,0.01
2597,87.896,0.01
2598,87.906,0.01
2599,87.916,0.01
2600,87.926,0.01
2601,87.936,0.01
2602,87.946,0.01
2603,87.956,0.009000000000000001
2604,87.965,0.009000000000000001
2605,87.974,0.009000000000000001
2606,87.983,0.009000000000000001
2607,87.992,0.009000000000000001
2608,88.001,0.009000000000000001
2609,88.01,0.009000000000000001
2610,88.019,0.009000000000000001
2611,88.028,0.009000000000000001
2612,88.037,0.009000000000000001
2613,88.046,0.009000000000000001
2614,88.055,0.009000000000000001
2615,88.06400000000001,0.009000000000000001
2616,88.07300000000001,0.009000000000000001
2617,88.08200000000001,0.009000000000000001
2618,88.09100000000001,0.009000000000000001
2619,88.10000000000001,0.009000000000000001
2620,88.10900000000001,0.009000000000000001
2621,88.118,0.009000000000000001
2622,88.127,0.009000000000000001
2623,88.136,0.009000000000000001
2624,88.145,0.009000000000000001
2625,88.154,0.009000000000000001
2626,88.163,0.009000000000000001
2627,88.172,0.009000000000000001
2628,88.181,0.009000000000000001
2629,88.19,0.009000000000000001
2630,88.199,0.009000000000000001
2631,88.208,0.009000000000000001
2632,88.217,0.009000000000000001
2633,88.226,0.009000000000000001
2634,88.235,0.009000000000000001
2635,88.244,0.009000000000000001
2636,88.253,0.009000000000000001
2637,88.262,0.009000000000000001
2638,88.271,0.009000000000000001
2639,88.28,0.009000000000000001
2640,88.289,0.009000000000000001
2641,88.298,0.009000000000000001
2642,88.307,0.009000000000000001
2643,88.316,0.009000000000000001
2644,88.325,0.009000000000000001
2645,88.334,0.009000000000000001
2646,88.343,0.009000000000000001
2647,88.352,0.009000000000000001
2648,88.361,0.009000000000000001
2649,88.37,0.009000000000000001
2650,88.379,0.009000000000000001
2651,88.388,0.009000000000000001
2652,88.397,0.009000000000000001
2653,88.406,0.009000000000000001
2654,88.415,0.009000000000000001
2655,88.424,0.009000000000000001
2656,88.433,0.009000000000000001
2657,88.44200000000001,0.009000000000000001
2658,88.45100000000001,0.009000000000000001
2659,88.46000000000001,0.009000000000000001
2660,88.46900000000001,0.009000000000000001
2661,88.47800000000001,0.009000000000000001
2662,88.487,0.009000000000000001
2663,88.496,0.009000000000000001
2664,88.505,0.009000000000000001
2665,88.514,0.009000000000000001
2666,88.523,0.009000000000000001
2667,88.532,0.009000000000000001
2668,88.541,0.009000000000000001
2669,88.55,0.009000000000000001
2670,88.559,0.009000000000000001
2671,88.568,0.009000000000000001
2672,88.577,0.009000000000000001
2673,88.586,0.009000000000000001
2674,88.595,0.009000000000000001
2675,88.604,0.009000000000000001
2676,88.613,0.009000000000000001
2677,88.622,0.009000000000000001
2678,88.631,0.009000000000000001
2679,88.64,0.009000000000000001
2680,88.649,0.009000000000000001
2681,88.658,0.009000000000000001
2682,88.667,0.009000000000000001
2683,88.676,0.009000000000000001
2684,88.685,0.009000000000000001
2685,88.694,0.009000000000000001
2686,88.703,0.009000000000000001
2687,88.712,0.009000000000000001
2688,88.721,0.009000000000000001
2689,88.73,0.009000000000000001
2690,88.739,0.009000000000000001
2691,88.748,0.009000000000000001
2692,88.757,0.009000000000000001
2693,88.766,0.009000000000000001
2694,88.775,0.009000000000000001
2695,88.784,0.009000000000000001
2696,88.793,0.009000000000000001
2697,88.802,0.009000000000000001
2698,88.811,0.009000000000000001
2699,88.82000000000001,0.009000000000000001
2700,88.82900000000001,0.009000000000000001
2701,88.83800000000001,0.009000000000000001
2702,88.84700000000001,0.009000000000000001
2703,88.85600000000001,0.009000000000000001
2704,88.865,0.009000000000000001
2705,88.874,0.009000000000000001
2706,88.883,0.009000000000000001
2707,88.892,0.009000000000000001
2708,88.901,0.009000000000000001
2709,88.91,0.009000000000000001
2710,88.919,0.009000000000000001
2711,88.928,0.009000000000000001
2712,88.937,0.009000000000000001
2713,88.946,0.009000000000000001
2714,88.955,0.009000000000000001
2715,88.964,0.009000000000000001
2716,88.973,0.009000000000000001
2717,88.982,0.009000000000000001
2718,88.991,0.009000000000000001
2719,89.0,0.009000000000000001
2720,89.009,0.009000000000000001
2721,89.018,0.009000000000000001
2722,89.027,0.009000000000000001
2723,89.036,0.009000000000000001
2724,89.045,0.009000000000000001
2725,89.054,0.009000000000000001
2726,89.063,0.009000000000000001
2727,89.072,0.009000000000000001
2728,89.081,0.009000000000000001
2729,89.09,0.009000000000000001
2730,89.099,0.009000000000000001
2731,89.108,0.009000000000000001
2732,89.117,0.009000000000000001
2733,89.126,0.009000000000000001
2734,89.135,0.009000000000000001
2735,89.144,0.009000000000000001
2736,89.153,0.009000000000000001
2737,89.162,0.008
2738,89.17,0.008
2739,89.178,0.008
2740,89.186,0.008
2741,89.194,0.008
2742,89.202,0.008
2743,89.21000000000001,0.008
2744,89.218,0.008
2745,89.226,0.008
2746,89.23400000000001,0.008
2747,89.242,0.008
2748,89.25,0.008
2749,89.258,0.008
2750,89.266,0.008
2751,89.274,0.008
2752,89.282,0.008
2753,89.29,0.008
2754,89.298,0.008
2755,89.306,0.008
2756,89.31400000000001,0.008
2757,89.322,0.008
2758,89.33,0.008
2759,89.33800000000001,0.008
2760,89.346,0.008
2761,89.354,0.008
2762,89.362,0.008
2763,89.37,0.008
2764,89.378,0.008
2765,89.386,0.008
2766,89.394,0.008
2767,89.402,0.008
2768,89.41,0.008
2769,89.418,0.008
2770,89.426,0.008
2771,89.434,0.008
2772,89.44200000000001,0.008
2773,89.45,0.008
2774,89.458,0.008
2775,89.46600000000001,0.008
2776,89.474,0.008
2777,89.482,0.008
2778,89.49,0.008
2779,89.498,0.008
2780,89.506,0.008
2781,89.514,0.008
2782,89.522,0.008
2783,89.53,0.008
2784,89.538,0.008
2785,89.546,0.008
2786,89.554,0.008
2787,89.562,0.008
2788,89.57000000000001,0.008
2789,89.578,0.008
2790,89.586,0.008
2791,89.59400000000001,0.008
2792,89.602,0.008
2793,89.61,0.008
2794,89.618,0.008
2795,89.626,0.008
2796,89.634,0.008
2797,89.642,0.008
2798,89.65,0.008
2799,89.658,0.008
2800,89.666,0.008
2801,89.674,0.008
2802,89.682,0.008
2803,89.69,0.008
2804,89.69800000000001,0.008
2805,89.706,0.008
2806,89.714,0.008
2807,89.72200000000001,0.008
2808,89.73,0.008
2809,89.738,0.008
2810,89.746,0.008
2811,89.754,0.008
2812,89.762,0.008
2813,89.77,0.008
2814,89.778,0.008
2815,89.786,0.008
2816,89.794,0.008
2817,89.802,0.008
2818,89.81,0.008
2819,89.818,0.008
2820,89.82600000000001,0.008
2821,89.834,0.008
2822,89.842,0.008
2823,89.85000000000001,0.008
2824,89.858,0.008
2825,89.866,0.008
2826,89.874,0.008
2827,89.882,0.008
2828,89.89,0.008
2829,89.898,0.008
2830,89.906,0.008
2831,89.914,0.008
2832,89.922,0.008
2833,89.93,0.008
2834,89.938,0.008
2835,89.946,0.008
2836,89.95400000000001,0.008
2837,89.962,0.008
2838,89.97,0.008
2839,89.97800000000001,0.008
2840,89.986,0.008
2841,89.994,0.008
2842,90.002,0.008
2843,90.01,0.008
2844,90.018,0.008
2845,90.026,0.008
2846,90.034,0.008
2847,90.042,0.008
2848,90.05,0.008
2849,90.058,0.008
2850,90.066,0.008
2851,90.074,0.008
2852,90.08200000000001,0.008
2853,90.09,0.008
2854,90.098,0.008
2855,90.10600000000001,0.008
2856,90.114,0.008
2857,90.122,0.008
2858,90.13,0.008
2859,90.138,0.008
2860,90.146,0.008
2861,90.154,0.008
2862,90.162,0.008
2863,90.17,0.008
2864,90.178,0.008
2865,90.186,0.008
2866,90.194,0.008
2867,90.202,0.008
2868,90.21000000000001,0.008
2869,90.218,0.008
2870,90.226,0.008
2871,90.23400000000001,0.008
2872,90.242,0.008
2873,90.25,0.008
2874,90.258,0.008
2875,90.266,0.008
2876,90.274,0.008
2877,90.282,0.008
2878,90.29,0.008
2879,90.298,0.008
2880,90.306,0.008
2881,90.31400000000001,0.008
2882,90.322,0.008
2883,90.33,0.008
2884,90.33800000000001,0.008
2885,90.346,0.008
2886,90.354,0.008
2887,90.36200000000001,0.007
2888,90.369,0.007
2889,90.376,0.007
2890,90.383,0.007
2891,90.39,0.007
2892,90.397,0.007
2893,90.404,0.007
2894,90.411,0.007
2895,90.418,0.007
2896,90.425,0.007
2897,90.432,0.007
2898,90.43900000000001,0.007
2899,90.446,0.007
2900,90.453,0.007
2901,90.46000000000001,0.007
2902,90.467,0.007
2903,90.474,0.007
2904,90.48100000000001,0.007
2905,90.488,0.007
2906,90.495,0.007
2907,90.502,0.007
2908,90.509,0.007
2909,90.516,0.007
2910,90.523,0.007
2911,90.53,0.007
2912,90.537,0.007
2913,90.544,0.007
2914,90.551,0.007
2915,90.558,0.007
2916,90.565,0.007
2917,90.572,0.007
2918,90.57900000000001,0.007
2919,90.586,0.007
2920,90.593,0.007
2921,90.60000000000001,0.007
2922,90.607,0.007
2923,90.614,0.007
2924,90.621,0.007
2925,90.628,0.007
2926,90.635,0.007
2927,90.642,0.007
2928,90.649,0.007
2929,90.656,0.007
2930,90.663,0.007
2931,90.67,0.007
2932,90.677,0.007
2933,90.684,0.007
2934,90.691,0.007
2935,90.69800000000001,0.007
2936,90.705,0.007
2937,90.712,0.007
2938,90.71900000000001,0.007
2939,90.726,0.007
2940,90.733,0.007
2941,90.74,0.007
2942,90.747,0.007
2943,90.754,0.007
2944,90.761,0.007
2945,90.768,0.007
2946,90.775,0.007
2947,90.782,0.007
2948,90.789,0.007
2949,90.796,0.007
2950,90.803,0.007
2951,90.81,0.007
2952,90.81700000000001,0.007
2953,90.824,0.007
2954,90.831,0.007
2955,90.83800000000001,0.007
2956,90.845,0.007
2957,90.852,0.007
2958,90.85900000000001,0.007
2959,90.866,0.007
2960,90.873,0.007
2961,90.88,0.007
2962,90.887,0.007
2963,90.894,0.007
2964,90.901,0.007
2965,90.908,0.007
2966,90.915,0.007
2967,90.922,0.007
2968,90.929,0.007
2969,90.936,0.007
2970,90.943,0.007
2971,90.95,0.007
2972,90.95700000000001,0.007
2973,90.964,0.007
2974,90.971,0.007
2975,90.97800000000001,0.007
2976,90.985,0.007
2977,90.992,0.007
2978,90.999,0.007
2979,91.006,0.007
2980,91.013,0.007
2981,91.02,0.007
2982,91.027,0.007
2983,91.034,0.007
2984,91.041,0.007
2985,91.048,0.007
2986,91.055,0.007
2987,91.062,0.007
2988,91.069,0.007
2989,91.07600000000001,0.007
2990,91.083,0.007
2991,91.09,0.007
2992,91.09700000000001,0.007
2993,91.104,0.007
2994,91.111,0.007
2995,91.118,0.007
2996,91.125,0.007
2997,91.132,0.007
2998,91.139,0.007
2999,91.146,0.007
3000,91.153,0.007
3001,91.16,0.007
3002,91.167,0.007
3003,91.174,0.007
3004,91.181,0.007
3005,91.188,0.007
3006,91.19500000000001,0.007
3007,91.202,0.007
3008,91.209,0.007
3009,91.21600000000001,0.007
3010,91.223,0.007
3011,91.23,0.007
3012,91.23700000000001,0.007
3013,91.244,0.007
3014,91.251,0.007
3015,91.258,0.007
3016,91.265,0.007
3017,91.272,0.007
3018,91.279,0.007
3019,91.286,0.007
3020,91.293,0.007
3021,91.3,0.007
3022,91.307,0.007
3023,91.31400000000001,0.007
3024,91.321,0.007
3025,91.328,0.007
3026,91.33500000000001,0.007
3027,91.342,0.007
3028,91.349,0.007
3029,91.35600000000001,0.007
3030,91.363,0.007
3031,91.37,0.007
3032,91.377,0.007
3033,91.384,0.007
3034,91.391,0.007
3035,91.398,0.007
3036,91.405,0.007
3037,91.412,0.007
3038,91.419,0.007
3039,91.426,0.007
3040,91.433,0.007
3041,91.44,0.007
3042,91.447,0.007
3043,91.45400000000001,0.007
3044,91.461,0.007
3045,91.468,0.007
3046,91.47500000000001,0.007
3047,91.482,0.007
3048,91.489,0.007
3049,91.496,0.007
3050,91.503,0.007
3051,91.51,0.007
3052,91.517,0.007
3053,91.524,0.007
3054,91.531,0.007
3055,91.538,0.007
3056,91.545,0.007
3057,91.552,0.007
3058,91.559,0.007
3059,91.566,0.007
3060,91.57300000000001,0.006
3061,91.57900000000001,0.006
3062,91.58500000000001,0.006
3063,91.59100000000001,0.006
3064,91.59700000000001,0.006
3065,91.60300000000001,0.006
3066,91.60900000000001,0.006
3067,91.615,0.006
3068,91.621,0.006
3069,91.627,0.006
3070,91.633,0.006
3071,91.639,0.006
3072,91.645,0.006
3073,91.651,0.006
3074,91.657,0.006
3075,91.663,0.006
3076,91.669,0.006
3077,91.675,0.006
3078,91.681,0.006
3079,91.687,0.006
3080,91.693,0.006
3081,91.699,0.006
3082,91.705,0.006
3083,91.711,0.006
3084,91.717,0.006
3085,91.723,0.006
3086,91.729,0.006
3087,91.735,0.006
3088,91.741,0.006
3089,91.747,0.006
3090,91.753,0.006
3091,91.759,0.006
3092,91.765,0.006
3093,91.771,0.006
3094,91.777,0.006
3095,91.783,0.006
3096,91.789,0.006
3097,91.795,0.006
3098,91.801,0.006
3099,91.807,0.006
3100,91.813,0.006
3101,91.819,0.006
3102,91.825,0.006
3103,91.831,0.006
3104,91.837,0.006
3105,91.843,0.006
3106,91.849,0.006
3107,91.855,0.006
3108,91.861,0.006
3109,91.867,0.006
3110,91.873,0.006
3111,91.879,0.006
3112,91.885,0.006
3113,91.891,0.006
3114,91.897,0.006
3115,91.903,0.006
3116,91.909,0.006
3117,91.915,0.006
3118,91.921,0.006
3119,91.927,0.006
3120,91.933,0.006
3121,91.93900000000001,0.006
3122,91.94500000000001,0.006
3123,91.95100000000001,0.006
3124,91.95700000000001,0.006
3125,91.96300000000001,0.006
3126,91.96900000000001,0.006
3127,91.97500000000001,0.006
3128,91.98100000000001,0.006
3129,91.98700000000001,0.006
3130,91.993,0.006
3131,91.999,0.006
3132,92.005,0.006
3133,92.011,0.006
3134,92.017,0.006
3135,92.023,0.006
3136,92.029,0.006
3137,92.035,0.006
3138,92.041,0.006
3139,92.047,0.006
3140,92.053,0.006
3141,92.059,0.006
3142,92.065,0.006
3143,92.071,0.006
3144,92.077,0.006
3145,92.083,0.006
3146,92.089,0.006
3147,92.095,0.006
3148,92.101,0.006
3149,92.107,0.006
3150,92.113,0.006
3151,92.119,0.006
3152,92.125,0.006
3153,92.131,0.006
3154,92.137,0.006
3155,92.143,0.006
3156,92.149,0.006
3157,92.155,0.006
3158,92.161,0.006
3159,92.167,0.006
3160,92.173,0.006
3161,92.179,0.006
3162,92.185,0.006
3163,92.191,0.006
3164,92.197,0.006
3165,92.203,0.006
3166,92.209,0.006
3167,92.215,0.006
3168,92.221,0.006
3169,92.227,0.006
3170,92.233,0.006
3171,92.239,0.006
3172,92.245,0.006
3173,92.251,0.006
3174,92.257,0.006
3175,92.263,0.006
3176,92.269,0.006
3177,92.275,0.006
3178,92.281,0.006
3179,92.287,0.006
3180,92.293,0.006
3181,92.299,0.006
3182,92.305,0.006
3183,92.311,0.006
3184,92.31700000000001,0.006
3185,92.32300000000001,0.006
3186,92.32900000000001,0.006
3187,92.33500000000001,0.006
3188,92.34100000000001,0.006
3189,92.34700000000001,0.006
3190,92.35300000000001,0.006
3191,92.35900000000001,0.006
3192,92.365,0.006
3193,92.371,0.006
3194,92.377,0.006
3195,92.383,0.006
3196,92.389,0.006
3197,92.395,0.006
3198,92.401,0.006
3199,92.407,0.006
3200,92.413,0.006
3201,92.419,0.006
3202,92.425,0.006
3203,92.431,0.006
3204,92.437,0.006
3205,92.443,0.006
3206,92.449,0.006
3207,92.455,0.006
3208,92.461,0.006
3209,92.467,0.006
3210,92.473,0.006
3211,92.479,0.006
3212,92.485,0.006
3213,92.491,0.006
3214,92.497,0.006
3215,92.503,0.006
3216,92.509,0.006
3217,92.515,0.006
3218,92.521,0.006
3219,92.527,0.006
3220,92.533,0.006
3221,92.539,0.006
3222,92.545,0.006
3223,92.551,0.006
3224,92.557,0.006
3225,92.563,0.006
3226,92.569,0.006
3227,92.575,0.006
3228,92.581,0.006
3229,92.587,0.006
3230,92.593,0.006
3231,92.599,0.006
3232,92.605,0.006
3233,92.611,0.006
3234,92.617,0.006
3235,92.623,0.006
3236,92.629,0.006
3237,92.635,0.006
3238,92.641,0.006
3239,92.647,0.006
3240,92.653,0.006
3241,92.659,0.006
3242,92.665,0.006
3243,92.671,0.006
3244,92.677,0.006
3245,92.683,0.006
3246,92.68900000000001,0.006
3247,92.69500000000001,0.006
3248,92.70100000000001,0.006
3249,92.70700000000001,0.006
3250,92.71300000000001,0.006
3251,92.71900000000001,0.006
3252,92.72500000000001,0.006
3253,92.73100000000001,0.006
3254,92.73700000000001,0.006
3255,92.743,0.006
3256,92.749,0.006
3257,92.755,0.006
3258,92.761,0.006
3259,92.767,0.006
3260,92.773,0.005
3261,92.778,0.005
3262,92.783,0.005
3263,92.788,0.005
3264,92.793,0.005
3265,92.798,0.005
3266,92.803,0.005
3267,92.808,0.005
3268,92.813,0.005
3269,92.818,0.005
3270,92.82300000000001,0.005
3271,92.828,0.005
3272,92.833,0.005
3273,92.83800000000001,0.005
3274,92.843,0.005
3275,92.848,0.005
3276,92.85300000000001,0.005
3277,92.858,0.005
3278,92.863,0.005
3279,92.868,0.005
3280,92.873,0.005
3281,92.878,0.005
3282,92.883,0.005
3283,92.888,0.005
3284,92.893,0.005
3285,92.898,0.005
3286,92.903,0.005
3287,92.908,0.005
3288,92.913,0.005
3289,92.918,0.005
3290,92.923,0.005
3291,92.928,0.005
3292,92.933,0.005
3293,92.938,0.005
3294,92.943,0.005
3295,92.94800000000001,0.005
3296,92.953,0.005
3297,92.958,0.005
3298,92.96300000000001,0.005
3299,92.968,0.005
3300,92.973,0.005
3301,92.97800000000001,0.005
3302,92.983,0.005
3303,92.988,0.005
3304,92.993,0.005
3305,92.998,0.005
3306,93.003,0.005
3307,93.008,0.005
3308,93.013,0.005
3309,93.018,0.005
3310,93.023,0.005
3311,93.028,0.005
3312,93.033,0.005
3313,93.038,0.005
3314,93.043,0.005
3315,93.048,0.005
3316,93.053,0.005
3317,93.058,0.005
3318,93.063,0.005
3319,93.068,0.005
3320,93.07300000000001,0.005
3321,93.078,0.005
3322,93.083,0.005
3323,93.08800000000001,0.005
3324,93.093,0.005
3325,93.098,0.005
3326,93.10300000000001,0.005
3327,93.108,0.005
3328,93.113,0.005
3329,93.118,0.005
3330,93.123,0.005
3331,93.128,0.005
3332,93.133,0.005
3333,93.138,0.005
3334,93.143,0.005
3335,93.148,0.005
3336,93.153,0.005
3337,93.158,0.005
3338,93.163,0.005
3339,93.168,0.005
3340,93.173,0.005
3341,93.178,0.005
3342,93.183,0.005
3343,93.188,0.005
3344,93.193,0.005
3345,93.19800000000001,0.005
3346,93.203,0.005
3347,93.208,0.005
3348,93.21300000000001,0.005
3349,93.218,0.005
3350,93.223,0.005
3351,93.22800000000001,0.005
3352,93.233,0.005
3353,93.238,0.005
3354,93.243,0.005
3355,93.248,0.005
3356,93.253,0.005
3357,93.258,0.005
3358,93.263,0.005
3359,93.268,0.005
3360,93.273,0.005
3361,93.278,0.005
3362,93.283,0.005
3363,93.288,0.005
3364,93.293,0.005
3365,93.298,0.005
3366,93.303,0.005
3367,93.308,0.005
3368,93.313,0.005
3369,93.318,0.005
3370,93.32300000000001,0.005
3371,93.328,0.005
3372,93.333,0.005
3373,93.33800000000001,0.005
3374,93.343,0.005
3375,93.348,0.005
3376,93.35300000000001,0.005
3377,93.358,0.005
3378,93.363,0.005
3379,93.368,0.005
3380,93.373,0.005
3381,93.378,0.005
3382,93.383,0.005
3383,93.388,0.005
3384,93.393,0.005
3385,93.398,0.005
3386,93.403,0.005
3387,93.408,0.005
3388,93.413,0.005
3389,93.418,0.005
3390,93.423,0.005
3391,93.428,0.005
3392,93.433,0.005
3393,93.438,0.005
3394,93.443,0.005
3395,93.44800000000001,0.005
3396,93.453,0.005
3397,93.458,0.005
3398,93.46300000000001,0.005
3399,93.468,0.005
3400,93.473,0.005
3401,93.47800000000001,0.005
3402,93.483,0.005
3403,93.488,0.005
3404,93.493,0.005
3405,93.498,0.005
3406,93.503,0.005
3407,93.508,0.005
3408,93.513,0.005
3409,93.518,0.005
3410,93.523,0.005
3411,93.528,0.005
3412,93.533,0.005
3413,93.538,0.005
3414,93.543,0.005
3415,93.548,0.005
3416,93.553,0.005
3417,93.558,0.005
3418,93.563,0.005
3419,93.568,0.005
3420,93.57300000000001,0.005
3421,93.578,0.005
3422,93.583,0.005
3423,93.58800000000001,0.005
3424,93.593,0.005
3425,93.598,0.005
3426,93.60300000000001,0.005
3427,93.608,0.005
3428,93.613,0.005
3429,93.618,0.005
3430,93.623,0.005
3431,93.628,0.005
3432,93.633,0.005
3433,93.638,0.005
3434,93.643,0.005
3435,93.648,0.005
3436,93.653,0.005
3437,93.658,0.005
3438,93.663,0.005
3439,93.668,0.005
3440,93.673,0.005
3441,93.678,0.005
3442,93.683,0.005
3443,93.688,0.005
3444,93.693,0.005
3445,93.69800000000001,0.005
3446,93.703,0.005
3447,93.708,0.005
3448,93.71300000000001,0.005
3449,93.718,0.005
3450,93.723,0.005
3451,93.72800000000001,0.005
3452,93.733,0.005
3453,93.738,0.005
3454,93.743,0.005
3455,93.748,0.005
3456,93.753,0.005
3457,93.758,0.005
3458,93.763,0.005
3459,93.768,0.005
3460,93.773,0.005
3461,93.778,0.005
3462,93.783,0.005
3463,93.788,0.005
3464,93.793,0.005
3465,93.798,0.005
3466,93.803,0.005
3467,93.808,0.005
3468,93.813,0.005
3469,93.818,0.005
3470,93.82300000000001,0.005
3471,93.828,0.005
3472,93.833,0.005
3473,93.83800000000001,0.005
3474,93.843,0.005
3475,93.848,0.005
3476,93.85300000000001,0.005
3477,93.858,0.005
3478,93.863,0.005
3479,93.868,0.005
3480,93.873,0.005
3481,93.878,0.005
3482,93.883,0.005
3483,93.888,0.005
3484,93.893,0.005
3485,93.898,0.005
3486,93.903,0.005
3487,93.908,0.005
3488,93.913,0.005
3489,93.918,0.005
3490,93.923,0.005
3491,93.928,0.005
3492,93.933,0.005
3493,93.938,0.005
3494,93.943,0.005
