天数,顺从度,顺从度增长
400,28.087,0.059000000000000004
401,28.146,0.059000000000000004
402,28.205000000000002,0.059000000000000004
403,28.264,0.059000000000000004
404,28.323,0.059000000000000004
405,28.382,0.059000000000000004
406,28.441,0.059000000000000004
407,28.5,0.059000000000000004
408,28.559,0.059000000000000004
409,28.618000000000002,0.059000000000000004
410,28.677,0.059000000000000004
411,28.736,0.059000000000000004
412,28.795,0.059000000000000004
413,28.854,0.059000000000000004
414,28.913,0.059000000000000004
415,28.972,0.058
416,29.03,0.058
417,29.088,0.058
418,29.146,0.058
419,29.204,0.058
420,29.262,0.058
421,29.32,0.058
422,29.378,0.058
423,29.436,0.058
424,29.494,0.058
425,29.552,0.058
426,29.61,0.058
427,29.668,0.058
428,29.726,0.058
429,29.784,0.058
430,29.842000000000002,0.058
431,29.900000000000002,0.058
432,29.958000000000002,0.058
433,30.016000000000002,0.058
434,30.074,0.058
435,30.132,0.057
436,30.189,0.057
437,30.246000000000002,0.057
438,30.303,0.057
439,30.36,0.057
440,30.417,0.057
441,30.474,0.057
442,30.531000000000002,0.057
443,30.588,0.057
444,30.645,0.057
445,30.702,0.057
446,30.759,0.057
447,30.816,0.057
448,30.873,0.057
449,30.93,0.057
450,30.987000000000002,0.057
451,31.044,0.057
452,31.101,0.057
453,31.158,0.057
454,31.215,0.057
455,31.272000000000002,0.057
456,31.329,0.056
457,31.385,0.056
458,31.441,0.056
459,31.497,0.056
460,31.553,0.056
461,31.609,0.056
462,31.665,0.056
463,31.721,0.056
464,31.777,0.056
465,31.833000000000002,0.056
466,31.889,0.056
467,31.945,0.056
468,32.001,0.056
469,32.057,0.056
470,32.113,0.056
471,32.169000000000004,0.056
472,32.225,0.056
473,32.281,0.056
474,32.337,0.056
475,32.393,0.056
476,32.449,0.056
477,32.505,0.056
478,32.561,0.055
479,32.616,0.055
480,32.671,0.055
481,32.726,0.055
482,32.781,0.055
483,32.836,0.055
484,32.891,0.055
485,32.946,0.055
486,33.001,0.055
487,33.056,0.055
488,33.111000000000004,0.055
489,33.166000000000004,0.055
490,33.221000000000004,0.055
491,33.276,0.055
492,33.331,0.055
493,33.386,0.055
494,33.441,0.055
495,33.496,0.055
496,33.551,0.055
497,33.606,0.055
498,33.661,0.055
499,33.716,0.055
500,33.771,0.054
501,33.825,0.054
502,33.879,0.054
503,33.933,0.054
504,33.987,0.054
505,34.041000000000004,0.054
506,34.095,0.054
507,34.149,0.054
508,34.203,0.054
509,34.257,0.054
510,34.311,0.054
511,34.365,0.054
512,34.419000000000004,0.054
513,34.473,0.054
514,34.527,0.054
515,34.581,0.054
516,34.635,0.054
517,34.689,0.054
518,34.743,0.054
519,34.797000000000004,0.054
520,34.851,0.054
521,34.905,0.054
522,34.959,0.053
523,35.012,0.053
524,35.065,0.053
525,35.118,0.053
526,35.171,0.053
527,35.224000000000004,0.053
528,35.277,0.053
529,35.33,0.053
530,35.383,0.053
531,35.436,0.053
532,35.489,0.053
533,35.542,0.053
534,35.595,0.053
535,35.648,0.053
536,35.701,0.053
537,35.754,0.053
538,35.807,0.053
539,35.86,0.053
540,35.913000000000004,0.053
541,35.966,0.053
542,36.019,0.053
543,36.072,0.053
544,36.125,0.053
545,36.178,0.052000000000000005
546,36.230000000000004,0.052000000000000005
547,36.282000000000004,0.052000000000000005
548,36.334,0.052000000000000005
549,36.386,0.052000000000000005
550,36.438,0.052000000000000005
551,36.49,0.052000000000000005
552,36.542,0.052000000000000005
553,36.594,0.052000000000000005
554,36.646,0.052000000000000005
555,36.698,0.052000000000000005
556,36.75,0.052000000000000005
557,36.802,0.052000000000000005
558,36.854,0.052000000000000005
559,36.906,0.052000000000000005
560,36.958,0.052000000000000005
561,37.01,0.052000000000000005
562,37.062,0.052000000000000005
563,37.114000000000004,0.052000000000000005
564,37.166000000000004,0.052000000000000005
565,37.218,0.052000000000000005
566,37.27,0.052000000000000005
567,37.322,0.052000000000000005
568,37.374,0.051000000000000004
569,37.425000000000004,0.051000000000000004
570,37.476,0.051000000000000004
571,37.527,0.051000000000000004
572,37.578,0.051000000000000004
573,37.629,0.051000000000000004
574,37.68,0.051000000000000004
575,37.731,0.051000000000000004
576,37.782000000000004,0.051000000000000004
577,37.833,0.051000000000000004
578,37.884,0.051000000000000004
579,37.935,0.051000000000000004
580,37.986000000000004,0.051000000000000004
581,38.037,0.051000000000000004
582,38.088,0.051000000000000004
583,38.139,0.051000000000000004
584,38.19,0.051000000000000004
585,38.241,0.051000000000000004
586,38.292,0.051000000000000004
587,38.343,0.051000000000000004
588,38.394,0.051000000000000004
589,38.445,0.051000000000000004
590,38.496,0.051000000000000004
591,38.547000000000004,0.051000000000000004
592,38.598,0.05
593,38.648,0.05
594,38.698,0.05
595,38.748,0.05
596,38.798,0.05
597,38.848,0.05
598,38.898,0.05
599,38.948,0.05
600,38.998,0.05
601,39.048,0.05
602,39.098,0.05
603,39.148,0.05
604,39.198,0.05
605,39.248,0.05
606,39.298,0.05
607,39.348,0.05
608,39.398,0.05
609,39.448,0.05
610,39.498,0.05
611,39.548,0.05
612,39.598,0.05
613,39.648,0.05
614,39.698,0.05
615,39.748,0.05
616,39.798,0.049
617,39.847,0.049
618,39.896,0.049
619,39.945,0.049
620,39.994,0.049
621,40.043,0.049
622,40.092,0.049
623,40.141,0.049
624,40.19,0.049
625,40.239000000000004,0.049
626,40.288000000000004,0.049
627,40.337,0.049
628,40.386,0.049
629,40.435,0.049
630,40.484,0.049
631,40.533,0.049
632,40.582,0.049
633,40.631,0.049
634,40.68,0.049
635,40.729,0.049
636,40.778,0.049
637,40.827,0.049
638,40.876,0.049
639,40.925000000000004,0.049
640,40.974000000000004,0.048
641,41.022,0.048
642,41.07,0.048
643,41.118,0.048
644,41.166000000000004,0.048
645,41.214,0.048
646,41.262,0.048
647,41.31,0.048
648,41.358000000000004,0.048
649,41.406,0.048
650,41.454,0.048
651,41.502,0.048
652,41.550000000000004,0.048
653,41.598,0.048
654,41.646,0.048
655,41.694,0.048
656,41.742,0.048
657,41.79,0.048
658,41.838,0.048
659,41.886,0.048
660,41.934,0.048
661,41.982,0.048
662,42.03,0.048
663,42.078,0.048
664,42.126,0.048
665,42.174,0.047
666,42.221000000000004,0.047
667,42.268,0.047
668,42.315,0.047
669,42.362,0.047
670,42.409,0.047
671,42.456,0.047
672,42.503,0.047
673,42.550000000000004,0.047
674,42.597,0.047
675,42.644,0.047
676,42.691,0.047
677,42.738,0.047
678,42.785000000000004,0.047
679,42.832,0.047
680,42.879,0.047
681,42.926,0.047
682,42.973,0.047
683,43.02,0.047
684,43.067,0.047
685,43.114000000000004,0.047
686,43.161,0.047
687,43.208,0.047
688,43.255,0.047
689,43.302,0.047
690,43.349000000000004,0.047
691,43.396,0.046
692,43.442,0.046
693,43.488,0.046
694,43.534,0.046
695,43.58,0.046
696,43.626,0.046
697,43.672000000000004,0.046
698,43.718,0.046
699,43.764,0.046
700,43.81,0.046
701,43.856,0.046
702,43.902,0.046
703,43.948,0.046
704,43.994,0.046
705,44.04,0.046
706,44.086,0.046
707,44.132,0.046
708,44.178000000000004,0.046
709,44.224000000000004,0.046
710,44.27,0.046
711,44.316,0.046
712,44.362,0.046
713,44.408,0.046
714,44.454,0.046
715,44.5,0.046
716,44.546,0.046
717,44.592,0.045
718,44.637,0.045
719,44.682,0.045
720,44.727000000000004,0.045
721,44.772,0.045
722,44.817,0.045
723,44.862,0.045
724,44.907000000000004,0.045
725,44.952,0.045
726,44.997,0.045
727,45.042,0.045
728,45.087,0.045
729,45.132,0.045
730,45.177,0.045
731,45.222,0.045
732,45.267,0.045
733,45.312,0.045
734,45.357,0.045
735,45.402,0.045
736,45.447,0.045
737,45.492000000000004,0.045
738,45.537,0.045
739,45.582,0.045
740,45.627,0.045
741,45.672000000000004,0.045
